NU_INSCRICAO,TP_SEXO,TP_FAIXA_ETARIA,TP_COR_RACA,TP_ESCOLA,TP_ENSINO,TP_DEPENDENCIA_ADM_ESC,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,MEDIA_GERAL
210060608762,Masculino,3,Branca,Pública,Ensino Regular,Estadual,1,1,1,1,462.1,421.5,440.8,413.6,580,H,E,B,F,3,463.6
210060229331,Masculino,9,Branca,Não respondeu,NA,NA,1,1,1,1,414.3,464.4,559,489.3,440,B,D,B,C,3,473.4
210060353446,Feminino,4,Branca,Não respondeu,NA,NA,1,1,1,1,581.6,613.3,581.2,653.6,760,E,F,D,D,4,637.94
210061069637,Feminino,11,Parda,Pública,Ensino Regular,Estadual,0,0,0,0,0,0,0,0,0,B,C,A,A,3,0
210060863419,Masculino,3,Parda,Pública,Ensino Regular,Estadual,1,1,1,1,474.8,531.9,528.3,536.1,780,E,B,B,B,5,570.22
210061736477,Feminino,2,Parda,Não respondeu,NA,NA,1,1,1,1,592.7,598.4,559.2,607.1,860,F,G,D,D,4,643.48
210058722456,Feminino,4,Parda,Não respondeu,NA,NA,1,1,1,1,487.2,525.7,465.7,591.9,540,F,F,D,D,3,522.1
210058791878,Feminino,3,Branca,Pública,Ensino Regular,Estadual,1,1,1,1,492.6,525.8,502.4,479.2,800,C,B,B,B,2,560
210059467685,Masculino,10,Preta,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,B,B,B,B,8,0
210060145079,Feminino,6,Parda,Não respondeu,NA,NA,1,1,1,1,503.3,532.6,583.1,514.2,400,D,E,B,C,3,506.64000000000004
210059415935,Feminino,3,Branca,Não respondeu,NA,NA,1,1,1,1,409.8,387.8,449.8,438.4,620,E,E,F,B,2,461.16
210059602059,Masculino,5,Branca,Privada,Ensino Regular,Privada,1,1,1,1,327.9,470.4,352,463.5,260,F,G,E,E,4,374.76
210058111274,Masculino,3,Preta,Privada,Ensino Regular,Privada,1,1,1,1,504.8,542.5,536.3,435.9,580,E,G,C,E,4,519.9
210061524765,Feminino,16,Amarela,Não respondeu,NA,NA,1,1,1,1,559.3,647.3,628.4,644.1,520,G,E,F,F,3,599.8199999999999
210058722800,Feminino,3,Branca,Pública,Ensino Regular,NA,0,0,0,0,0,0,0,0,0,B,E,A,A,3,0
210060983031,Feminino,2,Parda,Pública,Ensino Regular,Estadual,1,1,1,1,406.9,332.6,422.9,430.9,240,E,E,B,B,5,366.65999999999997
210060438898,Feminino,12,Branca,Não respondeu,NA,NA,1,1,1,1,398,473.1,417.3,560.8,560,F,E,D,B,3,481.84
210061571520,Feminino,10,Branca,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,E,E,B,B,2,0
210060090686,Feminino,8,Branca,Não respondeu,NA,NA,1,1,1,1,474.3,494.6,459.2,428.8,580,C,C,A,A,2,487.38
210059351836,Masculino,5,Branca,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,E,G,D,D,5,0
210061134604,Masculino,14,Branca,Não respondeu,NA,NA,1,1,1,1,596.4,655.9,629.6,638.2,660,C,C,A,A,3,636.02
210061252250,Feminino,6,Parda,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,H,E,B,D,3,0
210059746024,Masculino,11,Preta,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,A,F,A,D,9,0
210060933184,Feminino,8,Parda,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,A,B,A,B,3,0
210061015355,Feminino,13,Indígena,Não respondeu,NA,NA,1,1,1,1,463.3,380.6,416.6,402.3,480,B,C,A,A,5,428.56
210058040935,Feminino,2,Branca,Não respondeu,NA,NA,1,1,1,1,537.6,631.7,583,441.2,720,E,F,D,B,4,582.7
210058254636,Feminino,2,Parda,Pública,Ensino Regular,Estadual,1,1,1,1,532.1,596.2,551.8,554.1,780,B,D,F,B,6,602.84
210060709674,Masculino,3,Parda,Pública,Ensino Regular,Estadual,1,1,1,1,462.3,511,463.6,472.4,920,H,H,F,F,3,565.86
210060877153,Feminino,3,Branca,Privada,Ensino Regular,Privada,1,1,1,1,526.3,572.5,573.3,641.5,880,F,F,D,F,4,638.72
210059343883,Masculino,12,Parda,Não respondeu,NA,NA,1,1,1,1,461.2,556.8,499,334.8,500,C,D,B,B,2,470.36
210061463314,Feminino,5,Branca,Não respondeu,NA,NA,1,1,1,1,590.1,605.4,570.4,607.4,660,F,E,E,F,4,606.66
210061118486,Feminino,4,Branca,Não respondeu,NA,NA,1,1,1,1,515.5,518.6,453.2,384.8,480,E,G,C,D,4,470.42
210059266520,Masculino,3,Branca,Pública,Ensino Regular,NA,0,0,0,0,0,0,0,0,0,D,D,B,B,4,0
210058540454,Masculino,4,Parda,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,C,D,C,B,3,0
210060996515,Feminino,3,Parda,Pública,Ensino Regular,Estadual,1,1,1,1,483,494.9,500.3,422.5,680,A,D,A,B,3,516.14
210060453447,Feminino,14,Parda,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,E,E,B,B,2,0
210059145554,Masculino,12,Parda,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,E,B,F,B,2,0
210059421037,Masculino,2,Branca,Pública,Ensino Regular,NA,0,0,0,0,0,0,0,0,0,E,E,D,D,4,0
210061288381,Masculino,3,Parda,Não respondeu,NA,NA,1,1,1,1,433.9,439.7,459.1,401.8,720,B,B,D,B,3,490.9
210061860335,Feminino,14,Branca,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,A,H,C,F,2,0
210058677298,Feminino,1,Branca,Não respondeu,NA,NA,1,1,1,1,400.5,541.7,540.9,416.9,480,B,D,A,A,3,476
210060238774,Masculino,3,Branca,Privada,Ensino Regular,NA,1,1,1,1,611,619.4,557.5,706,880,D,H,F,B,3,674.78
210061467502,Masculino,7,Parda,Não respondeu,NA,NA,1,1,1,1,397.4,333.4,418.8,373.8,460,D,F,C,D,3,396.68
210060555858,Masculino,7,Parda,Não respondeu,NA,NA,1,1,1,1,552.9,597.4,593.4,685.1,480,C,B,A,A,2,581.76
210058650942,Masculino,4,Parda,Não respondeu,NA,NA,1,1,1,1,384.9,450.9,366.5,343,0,E,H,C,A,4,309.06
210059201602,Feminino,1,Parda,Não respondeu,NA,NA,1,1,1,1,474.7,588.4,570.6,602.4,920,E,E,D,D,5,631.22
210059708772,Feminino,7,Branca,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,E,D,B,B,3,0
210059995232,Feminino,4,Parda,Pública,Ensino Regular,NA,0,1,1,0,0,586.5,527.4,0,560,H,D,C,B,3,334.78
210060887088,Masculino,6,Branca,Não respondeu,NA,NA,0,0,0,0,0,0,0,0,0,H,C,F,B,2,0
210061248621,Feminino,8,Parda,Não respondeu,NA,NA,1,1,1,1,443.1,452.7,472.6,389.5,560,D,E,C,B,2,463.58
210059330223,Feminino,3,Parda,Pública,Ensino Regular,NA,1,1,1,1,447.7,346.3,499.6,593.5,540,B,D,B,B,6,485.42
